X,Y,Name
-84.20239642444,9.48033431305493,Border1
-84.2021899231741,9.48055508704213,Border1
-84.2018864783201,9.48079161161365,Border1
-84.2015288437831,9.48115260231102,Border1
-84.2013071850694,9.4813034753504,Border1
-84.2012338889276,9.48137572043179,Border1
-84.2011556425597,9.48159309671253,Border1
-84.2010838807862,9.48172242242767,Border1
-84.2010288026245,9.48164918479717,Border1
-84.201136000968,9.48135634436459,Border1
-84.2013379560451,9.48080175112783,Border1
-84.2010154525896,9.48049393187506,Border1
-84.2011480690497,9.48032344871997,Border1
-84.201243832327,9.48026379044782,Border1
-84.2012984938681,9.48015688777811,Border1
-84.2013748524223,9.47986925890106,Border1
-84.2015091208179,9.47976024732998,Border1
-84.2016348360305,9.4794976747015,Border1
-84.2016899695424,9.47940833542859,Border1
-84.2017424506279,9.47938497542705,Border1
-84.2018626867767,9.47941254760009,Border1
-84.2021573544754,9.47967277052615,Border1
-84.202398479345,9.47991683574105,Border1
-84.20239642444,9.48033431305493,Border1
